Objetivo,Tópico,Concluído
Dominar Python e Ciência de Dados,Aprender sintaxe básica do Python,False
Dominar Python e Ciência de Dados,"Entender estruturas de dados (listas, dicionários, tuplas, conjuntos)",False
Dominar Python e Ciência de Dados,"Dominar loops, condicionais e funções",False
Dominar Python e Ciência de Dados,"Aprender manipulação de arquivos (CSV, JSON)",False
Dominar Python e Ciência de Dados,Dominar bibliotecas NumPy e pandas,False
Dominar Python e Ciência de Dados,Aprender visualização de dados com matplotlib e seaborn,False
Dominar Python e Ciência de Dados,Estudar estatística descritiva e inferencial,False
Dominar Python e Ciência de Dados,Aprender álgebra linear e cálculo básico,False
Dominar Python e Ciência de Dados,Dominar análise exploratória de dados (EDA),False
Dominar Python e Ciência de Dados,Aprender limpeza e preparação de dados,False
Dominar Python e Ciência de Dados,Dominar Machine Learning com scikit-learn,False
Dominar Python e Ciência de Dados,Estudar modelos supervisionados e não supervisionados,False
Dominar Python e Ciência de Dados,Aprender validação de modelos e métricas,False
Dominar Python e Ciência de Dados,Dominar projetos práticos de dados,False
Dominar Python e Ciência de Dados,Criar e manter um portfólio no GitHub,False
Dominar Python e Ciência de Dados,Aprender versionamento com Git,False
Dominar Python e Ciência de Dados,Aprender SQL para análise de dados,False
Dominar Python e Ciência de Dados,"Estudar Big Data (Spark, Hadoop) – opcional",False
Dominar Python e Ciência de Dados,Entender fundamentos de Deep Learning – opcional,False
Dominar Python e Ciência de Dados,Realizar projetos integrando saúde e dados,False
Escrita Técnica e Medical Writing,Aprender estrutura de artigos científicos,False
Escrita Técnica e Medical Writing,Estudar normas ABNT e Vancouver,False
Escrita Técnica e Medical Writing,Praticar escrita objetiva e clara,False
Escrita Técnica e Medical Writing,Aprender storytelling científico,False
Escrita Técnica e Medical Writing,Fazer cursos de Medical Writing,False
Escrita Técnica e Medical Writing,Estudar escrita regulatória (regulatory writing),False
Escrita Técnica e Medical Writing,Escrever abstracts e resumos estruturados,False
Escrita Técnica e Medical Writing,Aprender a revisar e editar textos técnicos,False
Escrita Técnica e Medical Writing,Dominar inglês técnico para escrita,False
Escrita Técnica e Medical Writing,Criar textos científicos no estilo IMRAD,False
Escrita Técnica e Medical Writing,Escrever revisões sistemáticas e narrativas,False
Escrita Técnica e Medical Writing,"Estudar guidelines CONSORT, PRISMA, etc.",False
Escrita Técnica e Medical Writing,Escrever relatórios técnicos e white papers,False
Escrita Técnica e Medical Writing,Praticar com artigos reais e reescrever,False
Escrita Técnica e Medical Writing,Criar um portfólio com textos próprios,False
Escrita Técnica e Medical Writing,Participar de grupos de escrita científica,False
Escrita Técnica e Medical Writing,Publicar artigos ou textos científicos,False
Escrita Técnica e Medical Writing,Colaborar com projetos ou pesquisadores,False
Fortalecer Currículo e Entrar no Mestrado/PhD EUA,Escolher área de pesquisa e temas de interesse,False
Fortalecer Currículo e Entrar no Mestrado/PhD EUA,Definir lista de programas e universidades,False
Fortalecer Currículo e Entrar no Mestrado/PhD EUA,"Ler requisitos de admissão (GPA, cartas, TOEFL)",False
Fortalecer Currículo e Entrar no Mestrado/PhD EUA,Fortalecer currículo com cursos e certificados,False
Fortalecer Currículo e Entrar no Mestrado/PhD EUA,Obter experiências relevantes em pesquisa,False
Fortalecer Currículo e Entrar no Mestrado/PhD EUA,Desenvolver um projeto próprio de pesquisa,False
Fortalecer Currículo e Entrar no Mestrado/PhD EUA,Publicar artigo ou coautoria,False
Fortalecer Currículo e Entrar no Mestrado/PhD EUA,Melhorar LinkedIn e currículo acadêmico,False
Fortalecer Currículo e Entrar no Mestrado/PhD EUA,Preparar carta de motivação forte e coesa,False
Fortalecer Currículo e Entrar no Mestrado/PhD EUA,Conseguir boas cartas de recomendação,False
Fortalecer Currículo e Entrar no Mestrado/PhD EUA,Fazer networking com professores e mentores,False
Fortalecer Currículo e Entrar no Mestrado/PhD EUA,Participar de conferências ou simpósios,False
Fortalecer Currículo e Entrar no Mestrado/PhD EUA,Aplicar para oportunidades de pesquisa (RA),False
Fortalecer Currículo e Entrar no Mestrado/PhD EUA,Fazer cursos extracurriculares alinhados ao objetivo,False
Fortalecer Currículo e Entrar no Mestrado/PhD EUA,Aprender a estruturar propostas de pesquisa,False
Fortalecer Currículo e Entrar no Mestrado/PhD EUA,Fazer mentoring com alguém que já aplicou,False
Fortalecer Currículo e Entrar no Mestrado/PhD EUA,Organizar cronograma de aplicação até novembro,False
Tirar Nota Impecável no TOEFL,Entender formato completo do TOEFL,False
Tirar Nota Impecável no TOEFL,Avaliar nível atual de inglês,False
Tirar Nota Impecável no TOEFL,Estudar gramática intermediária e avançada,False
Tirar Nota Impecável no TOEFL,Praticar leitura de textos acadêmicos,False
Tirar Nota Impecável no TOEFL,Treinar técnicas de skimming e scanning,False
Tirar Nota Impecável no TOEFL,Aumentar vocabulário acadêmico,False
Tirar Nota Impecável no TOEFL,Praticar listening com áudios do TOEFL,False
Tirar Nota Impecável no TOEFL,Fazer shadowing para melhorar pronúncia,False
Tirar Nota Impecável no TOEFL,Praticar writing com templates de essays,False
Tirar Nota Impecável no TOEFL,Fazer redações cronometradas,False
Tirar Nota Impecável no TOEFL,Estudar estrutura de independent e integrated writing,False
Tirar Nota Impecável no TOEFL,Treinar speaking com gravações e feedback,False
Tirar Nota Impecável no TOEFL,Fazer simulações completas do TOEFL,False
Tirar Nota Impecável no TOEFL,Analisar erros recorrentes e corrigi-los,False
Tirar Nota Impecável no TOEFL,Criar um plano de estudos com metas semanais,False
Tirar Nota Impecável no TOEFL,"Usar apps e plataformas específicas (TPO, Magoosh etc.)",False
Tirar Nota Impecável no TOEFL,Fazer teste oficial simulado (mock test),False
Tirar Nota Impecável no TOEFL,Refinar timing e estratégia de prova,False
